timestamp ba_x ba_y ba_z bg_x bg_y bg_z
1660997388.502030 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
1660997388.567952 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
1660997388.633862 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
1660997388.699761 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
1660997388.765646 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
1660997388.831522 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
1660997388.897386 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
1660997388.963238 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
1660997389.029078 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
1660997389.094930 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
1660997389.160937 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
1660997389.226931 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
1660997389.292916 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
1660997389.358888 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
1660997389.424850 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
1660997389.490800 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
1660997389.556738 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
1660997389.622666 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
1660997389.688580 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
1660997389.754485 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
1660997389.820377 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
1660997389.886259 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
1660997389.952129 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
1660997390.017987 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
1660997390.083865 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
1660997390.149887 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
1660997390.215898 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
1660997390.281897 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
1660997390.347885 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
1660997390.413861 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
1660997390.479827 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
1660997390.545780 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
1660997390.611723 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
1660997390.677654 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
1660997390.743574 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
1660997390.809483 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
